"ID","ADU","TAXON CONCEPT ID","SCIENTIFIC NAME"
549,237,avibase-0F0DCC2F,Charadrius pecuarius
550,2004,avibase-9EB06C93,Charadrius sanctaehelenae
551,1101,avibase-0E8EC2EA,Charadrius thoracicus
552,238,avibase-8DAF86A1,Charadrius tricollaris
553,2114,avibase-22832FF4,Chelictinia riocourii
554,474,avibase-D3DAD4C2,Chersomanes albofasciata
555,3490,avibase-9BEA5037,Chersomanes beesleyi
556,3492,avibase-504B0218,Chersophilus duponti
557,864,avibase-62AC9C19,Chionis albus
558,975,avibase-7C15B681,Chionis minor
559,1896,avibase-1BCEB0FD,Chlamydotis macqueenii
560,1898,avibase-5714C710,Chlamydotis undulata
561,305,avibase-7AB4E42B,Chlidonias hybrida
562,304,avibase-43CAAEE3,Chlidonias leucopterus
563,903,avibase-115AF02D,Chlidonias niger
564,4006,avibase-65BD2033,Chloris chloris
565,1180,avibase-FCA9F934,Chlorocichla falkensteini
566,550,avibase-D083BB3F,Chlorocichla flaviventris
567,2972,avibase-4602AC01,Chlorocichla laetissima
568,2974,avibase-38652F17,Chlorocichla prigoginei
569,2976,avibase-D3D4D1B7,Chlorocichla simplex
570,2502,avibase-456567FF,Chlorophoneus kupeensis
571,2504,avibase-3703187C,Chlorophoneus multicolor
572,720,avibase-5CE2F0DC,Chlorophoneus nigrifrons
573,717,avibase-89A9E67C,Chlorophoneus olivaceus
574,719,avibase-F3DCCA8F,Chlorophoneus sulfureopectus
575,451,avibase-77D82F60,Chloropicus namaquus
576,1396,avibase-8E989334,Chloropicus pyrrhogaster
577,1400,avibase-2700C97D,Chloropicus xantholophus
578,288,avibase-6EB497FA,Chroicocephalus cirrocephalus
579,1078,avibase-27CE7132,Chroicocephalus genei
580,289,avibase-5941F453,Chroicocephalus hartlaubii
581,933,avibase-FB02DD96,Chroicocephalus ridibundus
582,352,avibase-0482FA7E,Chrysococcyx caprius
583,350,avibase-1B309CB5,Chrysococcyx cupreus
584,1598,avibase-A4427701,Chrysococcyx flavigularis
585,351,avibase-1FACD210,Chrysococcyx klaas
586,593,avibase-A0A3B03D,Cichladusa arquata
587,2560,avibase-345658E9,Cichladusa guttata
588,910,avibase-A27D752A,Cichladusa ruficauda
589,78,avibase-26CD0319,Ciconia abdimii
590,80,avibase-28825494,Ciconia ciconia
591,77,avibase-5157C558,Ciconia episcopus
592,79,avibase-E2817DAE,Ciconia nigra
593,2538,avibase-FDECE3B9,Cinclus cinclus
594,736,avibase-B1A3AF6C,Cinnyricinclus leucogaster
595,758,avibase-E47FCBF7,Cinnyris afer
596,3622,avibase-DD180188,Cinnyris batesi
597,756,avibase-71C72002,Cinnyris bifasciatus
598,3626,avibase-693FC6FD,Cinnyris bouvieri
599,3628,avibase-9CDA630C,Cinnyris chalcomelas
600,760,avibase-679F9748,Cinnyris chalybeus
601,1117,avibase-D2B15B3F,Cinnyris chloropygius
602,3630,avibase-48EC6C78,Cinnyris coccinigastrus
603,3632,avibase-0D9CEEA0,Cinnyris comorensis
604,3634,avibase-6A9FC674,Cinnyris congensis
605,3636,avibase-A3D7FDD3,Cinnyris coquerellii
606,754,avibase-1F21FFE9,Cinnyris cupreus
607,1177,avibase-8449EA0A,Cinnyris dussumieri
608,3638,avibase-4C428439,Cinnyris erythrocercus
609,3598,avibase-411ECD6F,Cinnyris fuelleborni
610,764,avibase-427683B4,Cinnyris fuscus
611,3640,avibase-688582BF,Cinnyris habessinicus
612,3642,avibase-308AEC0F,Cinnyris humbloti
613,3644,avibase-3D3EF8AC,Cinnyris johannae
614,3648,avibase-85666B49,Cinnyris loveridgei
615,3612,avibase-2CD990E7,Cinnyris ludovicensis
616,759,avibase-4E7287C8,Cinnyris manoensis
617,755,avibase-5AC9F737,Cinnyris mariquensis
618,767,avibase-EF6101F4,Cinnyris mediocris
619,3650,avibase-6F3E5C98,Cinnyris minullus
620,3620,avibase-B929416B,Cinnyris moreaui
621,3684,avibase-7C822074,Cinnyris nectarinioides
622,761,avibase-942E8A93,Cinnyris neergaardi
623,3654,avibase-783E492C,Cinnyris osea
624,3656,avibase-F2C131F9,Cinnyris oustaleti
625,3658,avibase-8427E71F,Cinnyris pembae
626,3618,avibase-5D8A4ACA,Cinnyris prigoginei
627,3686,avibase-00D5E1C6,Cinnyris pulchellus
628,3664,avibase-F995313F,Cinnyris regius
629,3660,avibase-A6083057,Cinnyris reichenowi
630,3666,avibase-D88A2E02,Cinnyris rockefelleri
631,3668,avibase-E3B9A841,Cinnyris rufipennis
632,757,avibase-109179EB,Cinnyris shelleyi
633,1073,avibase-D7C2EAB8,Cinnyris sovimanga
634,3614,avibase-E0C82A32,Cinnyris stuhlmanni
635,3672,avibase-7C8BC7CF,Cinnyris superbus
636,763,avibase-8D3818DB,Cinnyris talatala
637,3676,avibase-17DE4B1F,Cinnyris tsavoensis
638,3678,avibase-6781CD7F,Cinnyris ursulae
639,3600,avibase-CBA39A29,Cinnyris usambaricus
640,762,avibase-8E9E45B5,Cinnyris venustus
641,2116,avibase-F4E78AFA,Circaetus beaudouini
642,148,avibase-4327F813,Circaetus cinerascens
643,145,avibase-6904D83F,Circaetus cinereus
644,147,avibase-9F2839A9,Circaetus fasciolatus
645,2118,avibase-8372FFBA,Circaetus gallicus
646,146,avibase-BF553D32,Circaetus pectoralis
647,2124,avibase-3DA062BF,Circaetus spectabilis
648,166,avibase-E2A19474,Circus aeruginosus
649,2120,avibase-F558C7F9,Circus cyaneus
650,168,avibase-22647E26,Circus macrourus
651,2122,avibase-02B81454,Circus maillardi
652,169,avibase-A41CD4E7,Circus maurus
653,170,avibase-63B6412E,Circus pygargus
654,167,avibase-2A2C169B,Circus ranivorus
655,3108,avibase-3C79F1AC,Cisticola aberdare
656,648,avibase-4282ACAF,Cisticola aberrans
657,3102,avibase-9CE4FC4C,Cisticola angusticauda
658,3110,avibase-01CFA60A,Cisticola anonymus
659,630,avibase-A2C88219,Cisticola aridulus
660,634,avibase-78573BB2,Cisticola ayresii
661,10988,avibase-43B615B3,Cisticola bakerorum
662,3112,avibase-F8469E3F,Cisticola bodessa
663,636,avibase-FBDCA962,Cisticola brachypterus
664,3114,avibase-006667E7,Cisticola brunnescens
665,3116,avibase-F550D7D6,Cisticola bulliens
666,643,avibase-6B64558B,Cisticola cantans
667,3118,avibase-2C6D5362,Cisticola carruthersi
668,3120,avibase-84C80AC6,Cisticola cherina
669,642,avibase-909FEE8A,Cisticola chiniana
670,3122,avibase-4849AA43,Cisticola chubbi
671,3124,avibase-71F6A3F0,Cisticola cinereolus
672,635,avibase-6F165487,Cisticola cinnamomeus
673,3126,avibase-9F281377,Cisticola dambo
674,3104,avibase-52B4F230,Cisticola distinctus
675,3098,avibase-398DC864,Cisticola emini
676,644,avibase-47053A35,Cisticola erythrops
677,3130,avibase-53E61277,Cisticola eximius
678,637,avibase-8220168F,Cisticola fulvicapilla
679,4138,avibase-D74437DE,Cisticola galactotes
680,3128,avibase-6078DEED,Cisticola guinea
681,3132,avibase-E88C0B71,Cisticola haematocephalus
682,3134,avibase-C08493AF,Cisticola haesitatus
683,632,avibase-373DCDF4,Cisticola hunteri
684,629,avibase-AEE2063F,Cisticola juncidis
685,639,avibase-5FD10562,Cisticola lais
686,3136,avibase-5A184029,Cisticola lateralis
687,3138,avibase-846B8B31,Cisticola luapula
688,3140,avibase-3DF3F9B9,Cisticola lugubris
689,3142,avibase-1DA06308,Cisticola marginatus
690,3144,avibase-388BABD6,Cisticola melanurus
691,3146,avibase-BF29E8B6,Cisticola nana
692,647,avibase-FB740D14,Cisticola natalensis
693,3148,avibase-9C320DCB,Cisticola nigriloris
694,640,avibase-3B7E808C,Cisticola njombe
695,915,avibase-89A3C105,Cisticola pipiens
696,3150,avibase-2E0E6C82,Cisticola restrictus
697,3152,avibase-D3B1A98B,Cisticola robustus
698,3154,avibase-8338F12F,Cisticola ruficeps
699,641,avibase-F7D5C201,Cisticola rufilatus
700,3156,avibase-81851E47,Cisticola rufus
701,638,avibase-B7C5BC8D,Cisticola subruficapilla
702,631,avibase-F9FA8D6B,Cisticola textrix
703,646,avibase-F936B680,Cisticola tinniens
704,3164,avibase-844A290B,Cisticola troglodytes
705,3166,avibase-5BD1E605,Cisticola woosnami
706,346,avibase-3D67C56A,Clamator glandarius
707,348,avibase-BF0A0954,Clamator jacobinus
708,347,avibase-3C8C3A31,Clamator levaillantii
709,1098,avibase-BAC4CA22,Clanga clanga
710,136,avibase-C2565B65,Clanga pomarina
711,3722,avibase-BD7558AD,Clytospiza monteiri
712,5892,avibase-95DC125B,Coccopygia bocagei
713,825,avibase-7CB6CE7B,Coccopygia melanotis
714,826,avibase-B9BE800C,Coccopygia quartinia
715,4018,avibase-84E1F114,Coccothraustes coccothraustes
716,1632,avibase-0CF12F81,Coccyzus americanus
717,1586,avibase-A7746907,Colius castanotus
718,391,avibase-CFDC57C6,Colius colius
719,1588,avibase-ADDB3611,Colius leucocephalus
720,390,avibase-1FDDABDB,Colius striatus
721,2366,avibase-D4C32F8E,Coloeus monedula
722,1846,avibase-A1B9BB88,Columba albinucha
723,1848,avibase-DD7C4C78,Columba albitorques
724,312,avibase-EEDB8253,Columba arquatrix
725,313,avibase-870E4DDA,Columba delegorguei
726,311,avibase-A6EA9F02,Columba guinea
727,1850,avibase-3FC9BA60,Columba iriditorques
728,322,avibase-EE40DDB6,Columba larvata
729,940,avibase-533DD36C,Columba livia
730,1852,avibase-E6393B15,Columba malherbii
731,1854,avibase-68E4C0D1,Columba oenas
732,1856,avibase-37B66CCF,Columba oliviae
733,1858,avibase-760F307A,Columba palumbus
734,1862,avibase-05BBFC8E,Columba pollenii
735,1864,avibase-757ABA94,Columba sjostedti
736,1866,avibase-8288E54D,Columba thomensis
737,1868,avibase-1A145C89,Columba unicincta
738,2562,avibase-97015904,Copsychus albospecularis
739,1175,avibase-4B41D53C,Copsychus sechellarum
740,1530,avibase-E7C7EE3A,Coracias abyssinicus
741,413,avibase-9E9B6EF9,Coracias caudatus
742,1532,avibase-306C892E,Coracias cyanogaster
743,412,avibase-7451A628,Coracias garrulus
744,415,avibase-2624054E,Coracias naevius
745,414,avibase-BB456342,Coracias spatulatus
746,2346,avibase-DCFBF7FD,Cyanograucalus azureus
747,516,avibase-C7B05F46,Coracina caesia
748,2348,avibase-F7C76528,Coracina cinerea
749,2350,avibase-A6C2DC31,Coracina graueri
750,2352,avibase-8A9B1C25,Coracina newtoni
751,515,vibase-6E682612,Coracina pectoralis
752,1043,avibase-C9ECEF90,Coracina typica
753,1646,avibase-B8802336,Coracopsis nigra
754,1648,avibase-FCED8B3A,Coracopsis vasa
755,2274,avibase-E44FAD6F,Corvinella corvina
756,524,avibase-EA326EA2,Corvus albicollis
757,522,avibase-34D538E1,Corvus albus
758,523,avibase-562E17AB,Corvus capensis
759,2354,avibase-B9B272F4,Corvus corax
760,2356,avibase-F13D8350,Corvus cornix
761,2358,avibase-26FB62DA,Corvus corone
762,2360,avibase-4C6B515D,Corvus crassirostris
763,2362,avibase-9DBAAB1D,Corvus edithae
764,2364,avibase-1078FFEA,Corvus frugilegus
765,2368,avibase-32C216E2,Corvus rhipidurus
766,2370,avibase-F2024545,Corvus ruficollis
767,989,avibase-39868903,Corvus splendens
768,1696,avibase-002445CB,Corythaeola cristata
769,397,avibase-7149F93D,Corythornis cristatus
770,1062,avibase-4F94B89C,Corythornis leucogaster
771,1558,avibase-EDF78342,Corythornis madagascariensis
772,1554,avibase-FEBCB5F6,Corythornis vintsioides
773,2566,avibase-FA3C53B8,Cossypha albicapillus
774,469,avibase-CB6410F3,Cossypha anomala
775,2758,avibase-70F693B6,Cossypha ansorgei
776,2568,avibase-96D9A285,Cossypha archeri
777,581,avibase-A38BABE1,Cossypha caffra
778,2570,avibase-9616C96E,Cossypha cyanocampter
779,578,avibase-68C54292,Cossypha dichroa
780,2572,avibase-B175F364,Cossypha heinrichi
781,580,avibase-16BD42DD,Cossypha heuglini
782,582,avibase-94932CDC,Cossypha humeralis
783,1120,avibase-DB856F78,Cossypha isabellae
784,579,avibase-3846F8A8,Cossypha natalensis
785,2574,avibase-BB05D1FC,Cossypha niveicapilla
786,1085,avibase-0AF8F76D,Cossypha polioptera
787,2576,avibase-53EABB81,Cossypha semirufa
788,2564,avibase-F95998A8,Cossyphicula roberti
789,189,avibase-CAFE345D,Coturnix coturnix
790,190,avibase-0CA903BB,Coturnix delegorguei
791,1600,avibase-B569EDF7,Coua caerulea
792,1602,avibase-39649172,Coua coquereli
793,1604,avibase-FCAB4323,Coua cristata
794,1606,avibase-6643841C,Coua cursor
795,1610,avibase-CAFE4C4C,Coua gigas
796,1612,avibase-7B86087B,Coua reynaudii
797,1614,avibase-8DC737F8,Coua ruficeps
798,1616,avibase-CC72DA7A,Coua serriana
799,1618,avibase-BD0EDFE1,Coua verreauxi
800,735,avibase-9D95139B,Creatophora cinerea
801,198,avibase-7E257242,Crex crex
802,199,avibase-09A0F2EB,Crex egregia
803,339,avibase-DEBCA587,Crinifer concolor
804,1698,avibase-2AA4BC58,Crinifer leucogaster
805,1700,avibase-215428B0,Crinifer personatus
806,1702,avibase-3C3092F9,Crinifer piscator
807,1704,avibase-10B14696,Crinifer zonurus
808,2978,avibase-0F97A356,Criniger barbatus
809,2980,avibase-F8104BC1,Criniger calurus
810,1121,avibase-8A90BC6D,Criniger chloronotus
811,2982,avibase-6A110710,Criniger ndussumensis
812,2984,avibase-439C4BC9,Criniger olivaceus
813,865,avibase-294A70CC,Crithagra albogularis
814,4090,avibase-F422B222,Crithagra ankoberensis
815,860,avibase-D12CDD0F,Crithagra atrogularis
816,4086,avibase-F3618305,Crithagra buchanani
817,1159,avibase-8E8B3DB9,Crithagra burtoni
818,4088,avibase-115CB3F4,Crithagra canicapilla
819,1066,avibase-E16846C3,Crithagra capistrata
820,973,avibase-D419E3A5,Crithagra citrinelloides
821,921,avibase-238953D9,Crithagra citrinipectus
822,1138,avibase-58012642,Crithagra concolor
823,4094,avibase-0CEB2DA6,Crithagra donaldsoni
824,4096,avibase-90C937E4,Crithagra dorsostriata
825,4100,avibase-31B513F0,Crithagra flavigula
826,866,avibase-4746346C,Crithagra flaviventris
827,4082,avibase-5108E1D3,Crithagra frontalis
828,867,avibase-12E75955,Crithagra gularis
829,4084,avibase-C978ABCC,Crithagra hyposticta
830,4080,avibase-5E456730,Crithagra koliensis
831,869,avibase-D403BDAF,Crithagra leucoptera
832,4104,avibase-C887C3FC,Crithagra leucopygia
833,4078,avibase-A25D8384,Crithagra melanochroa
834,4106,avibase-5C0BF88F,Crithagra menachensis
835,868,avibase-D5454426,Crithagra mennelli
836,859,avibase-169B483C,Crithagra mozambica
837,834,avibase-DE9A742B,Crithagra reichardi
838,4074,avibase-69EB514A,Crithagra reichenowi
839,1160,avibase-83F51B60,Crithagra rufobrunnea
840,858,avibase-994D87C2,Crithagra scotops
841,778,avibase-580A93C2,Crithagra striolata
842,863,avibase-53A5E91F,Crithagra sulphurata
843,856,avibase-875794B9,Crithagra symonsi
844,855,avibase-0B5B5E28,Crithagra totta
845,4116,avibase-30384990,Crithagra tristriata
846,4118,avibase-1CBC2DDE,Crithagra whytii
847,4120,avibase-8C436082,Crithagra xantholaema
848,4076,avibase-71D3C8A6,Crithagra xanthopygia
849,3254,avibase-8A7929D9,Crossleyia xanthophrys
850,612,avibase-E3C55435,Cryptillas victorini
851,3724,avibase-7E6DF5D5,Cryptospiza jacksoni
852,828,avibase-E034D9D9,Cryptospiza reichenovii
853,3726,avibase-98B15EE7,Cryptospiza salvadorii
854,3728,avibase-1C1A87C4,Cryptospiza shelleyi
855,3256,avibase-DBD188EF,Cryptosylvicola randrianasoloi
856,340,avibase-B3D2C3C5,Cuculus canorus
857,344,avibase-EDB84334,Cuculus clamosus
858,341,avibase-66931B3F,Cuculus gularis
859,4130,avibase-FF41B79F,Cuculus poliocephalus
860,1620,avibase-C2E0717C,Cuculus rochii
861,343,avibase-26A34DA5,Cuculus solitarius
862,594,avibase-14AFBA82,Curruca communis
863,659,avibase-697DE8A6,Curruca layardi
864,658,avibase-C39D67AD,Curruca subcoerulea
865,2024,avibase-DE0A72A7,Cursorius cursor
866,276,avibase-5FBB9662,Cursorius rufus
867,2026,avibase-6091E70B,Cursorius somalensis
868,277,avibase-7A841F83,Cursorius temminckii
869,2864,avibase-9BE53D34,Cyanistes caeruleus
870,1314,avibase-842CC0BC,Cyanochen cyanoptera
871,2372,avibase-FCBB03B8,Cyanolanius madagascarinus
872,3680,avibase-AE0035FF,Cyanomitra alinae
873,1088,avibase-ED6CD9D5,Cyanomitra bannermani
874,3682,avibase-36A24C79,Cyanomitra cyanolaema
875,766,avibase-EE79A5EF,Cyanomitra olivacea
876,1122,avibase-B76E3DA1,Cyanomitra oritis
877,765,avibase-C1CBA33A,Cyanomitra veroxii
878,1068,avibase-6DE16262,Cyanomitra verticalis
879,10007,avibase-46B54DB1,Cygnus atratus
880,1316,avibase-0BCBA6B9,Cygnus columbianus
881,1318,avibase-BDDB5670,Cygnus cygnus
882,884,avibase-694C127A,Cygnus olor
883,387,avibase-DA106373,Cypsiurus parvus
884,14,avibase-AAC2D613,Daption capense
885,3570,avibase-D34970F5,Deleornis axillaris
886,3582,avibase-D508B219,Deleornis fraseri
887,507,avibase-30FEC6BE,Delichon urbicum
888,1378,avibase-D754DB85,Dendrocopos major
889,1398,avibase-3F54E5FD,Dendrocopos syriacus
890,101,avibase-9A60617E,Dendrocygna bicolor
891,100,avibase-A534AFEA,Dendrocygna viduata
892,1386,avibase-33F13BB1,Dendropicos abyssinicus
893,1388,avibase-C6F9E5EE,Dendropicos elachus
894,1404,avibase-81934FAF,Dendropicos elliotii
895,450,avibase-0A241B83,Dendropicos fuscescens
896,1390,avibase-8B3DF118,Dendropicos gabonensis
897,1392,avibase-E5DF48FC,Dendropicos goertae
898,452,avibase-02E004AD,Dendropicos griseocephalus
899,1382,avibase-735D837C,Dendropicos lugubris
900,1410,avibase-9FF4EDB5,Dendropicos obsoletus
901,1394,avibase-739A97EE,Dendropicos poecilolaemus
902,1384,avibase-902E9F69,Dendropicos spodocephalus
903,417,avibase-D1F738F4,Dendropicos stierlingi
904,517,avibase-11FE7313,Dicrurus adsimilis
905,1071,avibase-0EC8C471,Dicrurus aldabranus
906,2374,avibase-28AC53BE,Dicrurus atripennis
907,10989,avibase-7763FEC8,Dicrurus divaricatus
908,2376,avibase-6B0FC56C,Dicrurus forficatus
909,2378,avibase-07612BDC,Dicrurus fuscipennis
910,518,avibase-E79026DE,Dicrurus ludwigii
911,1093,avibase-5DEB4565,Dicrurus modestus
912,10945,avibase-84249EE3,Dicrurus sharpei
913,2380,avibase-EBB4F02C,Dicrurus waldenii
914,3730,avibase-00B07B12,Dinemellia dinemelli
915,848,avibase-D93548A7,Diomedea amsterdamensis
916,1080,avibase-1048BC8A,Diomedea dabbenena
917,4149,avibase-4D8C9B97,Diomedea epomophora
918,4148,avibase-A28D8D38,Diomedea exulans
919,2230,avibase-1A5E5AE7,Diomedea sanfordi
920,1118,avibase-D33D2F6D,Drepanorhynchus reichenowi
921,1124,avibase-1DEA5DEA,Dreptes thomensis
922,273,avibase-C3E33FEB,Dromas ardeola
923,3168,avibase-E1936846,Drymocichla incana
924,1380,avibase-AB2F4BC0,Dryobates minor
925,1072,avibase-41D9C3F5,Dryolimnas cuvieri
926,2384,avibase-201E1243,Dryoscopus angolensis
927,712,avibase-00855728,Dryoscopus cubla
928,2386,avibase-7DE7F0ED,Dryoscopus gambensis
929,2388,avibase-706FEEB4,Dryoscopus pringlii
930,2390,avibase-DEE6CC4D,Dryoscopus sabini
931,2392,avibase-AFE5B0C4,Dryoscopus senegalensis
932,64,avibase-74853F89,Egretta ardesiaca
933,1015,avibase-11512CF4,Egretta caerulea
934,2188,avibase-7C15B36B,Egretta dimorpha
935,59,avibase-4713982B,Egretta garzetta
936,2190,avibase-DF32B1F9,Egretta gularis
937,2192,avibase-AA7901D8,Egretta thula
938,982,avibase-510E9BFA,Egretta vinaceigula
939,130,avibase-97C47F3E,Elanus caeruleus
940,2406,avibase-DB5D1D17,Elminia albicauda
941,1126,avibase-329CF549,Elminia albiventris
942,681,avibase-18ED7458,Elminia albonotata
943,1127,avibase-56209052,Elminia longicauda
944,1128,avibase-B01090EF,Elminia nigromitrata
945,566,avibase-EA459C8C,Emarginata schlegelii
946,572,avibase-BF0859C5,Emarginata sinuata
947,571,avibase-17DEACED,Emarginata tractrac
948,4020,avibase-BB11EE7F,Emberiza affinis
949,875,avibase-45059BE8,Emberiza cabanisi
950,4022,avibase-A7F3E6AE,Emberiza caesia
951,4054,avibase-9A87EBB0,Emberiza calandra
952,873,avibase-DE27F1FA,Emberiza capensis
953,4026,avibase-7C5AC300,Emberiza cineracea
954,4028,avibase-9AAB8C21,Emberiza cirlus
955,4030,avibase-56FB47C0,Emberiza citrinella
956,874,avibase-D1C1A026,Emberiza flaviventris
957,10958,avibase-17E7F90B,Emberiza goslingi
958,4032,avibase-47210561,Emberiza hortulana
959,871,avibase-6D102D72,Emberiza impetuani
960,4034,avibase-43EF3EA7,Emberiza leucocephalos
961,4036,avibase-E2D2CB88,Emberiza melanocephala
962,4038,avibase-72386016,Emberiza poliopleura
963,4040,avibase-1866F80E,Emberiza pusilla
964,4042,avibase-DA9746CE,Emberiza rustica
965,4044,avibase-C0B97874,Emberiza schoeniclus
966,4046,avibase-3C33A7C5,Emberiza socotrana
967,4048,avibase-CDF4A106,Emberiza striolata
968,872,avibase-0C571D99,Emberiza tahapisi
969,3170,avibase-31E5F1E9,Eminia lepida
970,2578,avibase-AB38EDFD,Empidornis semipartitus
971,75,avibase-3D155653,Ephippiorhynchus senegalensis
972,3494,avibase-E75ECF62,Eremalauda dunni
973,3264,avibase-A6275491,Eremomela atricollis
974,3266,avibase-17767237,Eremomela badiceps
975,3262,avibase-75932535,Eremomela canescens
976,3268,avibase-D46EE5F8,Eremomela flavicrissalis
977,626,avibase-728CFC23,Eremomela gregalis
978,600,avibase-9E034D83,Eremomela icteropygialis
979,3270,avibase-330BEC7E,Eremomela pusilla
980,3260,avibase-77FE6CF2,Eremomela salvadorii
981,602,avibase-0394BA0B,Eremomela scotops
982,3272,avibase-7D340BF9,Eremomela turneri
983,601,avibase-35C0145B,Eremomela usticollis
984,3496,avibase-FC0A1D95,Eremophila alpestris
985,3498,avibase-89FCE277,Eremophila bilopha
986,486,avibase-7391E633,Eremopterix australis
987,3544,avibase-E6FDE8D9,Eremopterix hova
988,3500,avibase-97D7865F,Eremopterix leucopareia
989,484,avibase-9164F314,Eremopterix leucotis
990,3502,avibase-8C357822,Eremopterix nigriceps
991,3504,avibase-2F66131B,Eremopterix signatus
992,485,avibase-86EA668E,Eremopterix verticalis
993,2580,avibase-C809B2B9,Erithacus rubecula
994,2408,avibase-847AE7B8,Erythrocercus holochlorus
995,679,avibase-F6DBAE37,Erythrocercus livingstonei
996,2410,avibase-9EB7EBA9,Erythrocercus mccallii
997,843,avibase-61CB98C0,Estrilda astrild
998,3740,avibase-16E6A0F3,Estrilda atricapilla
999,3742,avibase-174BFAB6,Estrilda caerulescens
1000,1089,avibase-1E79A7D7,Estrilda melpoda
1001,3732,avibase-9C12483E,Estrilda nigriloris
1002,1129,avibase-2680F124,Estrilda nonnula
1003,3736,avibase-8E269F21,Estrilda ochrogaster
1004,1090,avibase-1066028B,Estrilda paludicola
1005,3738,avibase-A25AFBEA,Estrilda poliopareia
1006,817,avibase-6DD8F10F,Estrilda rhodopyga
1007,3744,avibase-D30DC715,Estrilda troglodytes
1008,3,avibase-4023CC81,Eudyptes chrysocome
1009,983,avibase-2C2BC004,Eudyptes chrysolophus
1010,13203,avibase-8722DFC2,Eudyptes moseleyi
1011,32,avibase-5EA37AA8,Eudyptes robustus
1012,164,avibase-01A11B3A,Eudyptes schlegeli
1013,6851,avibase-151738D5,Eudyptula minor
1014,3784,avibase-FC6A9CD0,Euodice cantans
1015,812,avibase-4A58452B,Euplectes afer
1016,814,avibase-749E7B3C,Euplectes albonotatus
1017,813,avibase-26618AA1,Euplectes ardens
1018,1179,avibase-2B94D2D5,Euplectes aureus
1019,816,avibase-B08FF959,Euplectes axillaris
1020,810,avibase-97A73D9F,Euplectes capensis
1021,3746,avibase-95A724BE,Euplectes diadematus
1022,3748,avibase-3D122849,Euplectes franciscanus
1023,3750,avibase-CC7862AF,Euplectes gierowii
1024,971,avibase-59E7ABE5,Euplectes hartlaubi
1025,809,avibase-7B414273,Euplectes hordeaceus
1026,3752,avibase-87071086,Euplectes jacksoni
1027,815,avibase-F5E0EA0D,Euplectes macroura
1028,3754,avibase-A31AC101,Euplectes nigroventris
1029,808,avibase-95F08BC3,Euplectes orix
1030,818,avibase-3153FE22,Euplectes progne
1031,3756,avibase-F7C77F74,Euplectes psammacromius
1032,223,avibase-501B3D62,Eupodotis caerulescens
1033,1908,avibase-1BF89BB6,Eupodotis humilis
1034,221,avibase-303DD648,Eupodotis rueppelii
1035,222,avibase-3B287014,Eupodotis senegalensis
1036,220,avibase-199B6280,Eupodotis vigorsii
1037,2944,avibase-0EA5F2E1,Eurillas ansorgei
1038,2950,avibase-486103D7,Eurillas gracilis
1039,1111,avibase-728B225E,Eurillas latirostris
1040,565,avibase-3413C42C,Eurillas virens
1041,730,avibase-02C6C2ED,Eurocephalus anguitimens
1042,2276,avibase-866D07A0,Eurocephalus ruppelli
1043,2412,avibase-E5EC5D38,Euryceros prevostii
1044,613,avibase-216F11D6,Euryptila subcinnamomea
1045,416,avibase-4F01F416,Eurystomus glaucurus
1046,1534,avibase-8FFDE282,Eurystomus gularis
1047,3758,avibase-F729393B,Euschistospiza cinereovinacea
1048,3760,avibase-76B35118,Euschistospiza dybowskii
1049,2126,avibase-D5EF2E20,Eutriorchis astur
1050,191,avibase-CAA45AC6,Excalfactoria adansonii
1051,2152,avibase-D2CAA18B,Falco alopex
1052,119,avibase-E6137E65,Falco amurensis
1053,1082,avibase-36C7BFDE,Falco araeus
1054,889,avibase-3F2BA4F7,Falco ardosiaceus
1055,114,avibase-3D3808E3,Falco biarmicus
1056,2154,avibase-A9F51494,Falco cherrug
1057,117,avibase-6A64EFCB,Falco chicquera
1058,1020,avibase-F3DA111C,Falco columbarius
1059,888,avibase-BD34FDFD,Falco concolor
1060,116,avibase-F56A73BF,Falco cuvierii
1061,121,avibase-CA34C05A,Falco dickinsoni
1062,992,avibase-9EA1F12D,Falco eleonorae
1063,887,avibase-9A4AA945,Falco fasciinucha
1064,125,avibase-BECA271F,Falco naumanni
1065,2160,avibase-66DD7774,Falco newtoni
1066,2148,avibase-C7F1C08C,Falco pelegrinoides
1067,113,avibase-47E58408,Falco peregrinus
1068,124,avibase-D1069C26,Falco punctatus
1069,122,avibase-2E4DAA13,Falco rupicoloides
1070,123,avibase-465E7C9F,Falco rupicolus
1071,115,avibase-E91E287A,Falco subbuteo
1072,2162,avibase-2DAB45B8,Falco tinnunculus
1073,120,avibase-997A9437,Falco vespertinus
1074,2164,avibase-80881CE3,Falco zoniventris
1075,2414,avibase-3A343C0C,Falculea palliata
1076,917,avibase-0B2F8058,Ficedula albicollis
1077,1022,avibase-6E352E18,Ficedula hypoleuca
1078,2582,avibase-6A3CA06B,Ficedula parva
1079,2584,avibase-BE56C141,Ficedula semitorquata
1080,1069,avibase-8DE8976D,Foudia eminentissima
1081,3762,avibase-CC3F83AD,Foudia flavicans
1082,1047,avibase-F7DFA41B,Foudia madagascariensis
1083,3764,avibase-FD358454,Foudia omissa
1084,1048,avibase-2F37FD05,Foudia rubra
1085,1178,avibase-B55985C7,Foudia sechellarum
1086,10878,avibase-F80D69C2,Zosterops flavilateralis
1087,2586,avibase-EA749CEC,Fraseria cinerascens
